Error_Code,Status,Category,Description,Resolution,Severity,Possible_Cause
000,Success,Success,Delivered successfully,No actions required,Info,All validations passed and the message was successfully processed and delivered.
001,Invalid MSISDN,Validation,Destination number is invalid.,Validate MSISDN format and country code,High,"Invalid mobile number format, incorrect country code, inactive number, or non-existent subscriber."
002,Invalid Sender ID,Sender,Sender ID is not authorized.,Verify sender id,High,"Sender ID is not registered, not whitelisted, blocked by the operator, or not permitted for the message route."
003,DLT Template Mismatch,DLT,Message content does not match the approved DLT template.,Verify template mapping and placeholders,High,"Message content, template ID, or variables do not match the DLT-approved template."
004,Consent Failure,Consent,Recipient has not provided the required consent.,End-user has opted not to receive these category messages,Medium,Recipient has not provided the required consent or has opted out of receiving messages in the selected category.
005,SMSC Timeout,Network,SMSC did not respond.,"Retry after some time. If the issue persists, check operator/SMSC connectivity.",Medium,"SMSC did not respond within the expected time due to network congestion, temporary outages, or connectivity issues."
006,Absent Subscriber,Subscriber,Subscriber is currently unavailable.,Retry later. Ask the user to move to an area with better network coverage or restart the device.,Low,"Recipient's device is switched off, out of network coverage, or temporarily unreachable."
007,Out Of Service,Subscriber,Subscriber number is out of service.,Verify that the subscriber's mobile number is active and has a valid service plan.,High,"Subscriber number is inactive, disconnected, suspended, or the mobile service plan has expired."
008,Busy In Other Process,Device,Device is busy processing another request.,Retry after a few minutes. Ask the user to close background applications and restart the device if needed.,Low,Recipient's device is processing another operation or is temporarily unable to accept new messages.
009,Inbox Full,Device,Recipient's inbox is full.,Ask the user to free up storage or delete old messages before retrying.,Low,"Recipient's device storage or SMS inbox has reached its maximum capacity, preventing message delivery."
010,Protocol Error,Protocol,Protocol or device communication error.,Verify the message format and device compatibility. Retry after basic troubleshooting.,Medium,"Message processing failed due to protocol incompatibility, unsupported device behavior, or communication errors between network elements."
